annotation_id	lineage	busco_count	complete	single	duplicated	fragmented	missing
480cf27d2faa6269e4e8acd9c04245f0	eukaryota_odb12	129	93.8	91.5	2.3	5.4	0.8
6590bee5d77b6aa220b81918a8140f46	eukaryota_odb12	129	95.3	94.6	0.8	2.3	2.3
78204598c2ad0ee2a74b6928bcd3a93a	eukaryota_odb12	129	93.0	90.7	2.3	5.4	1.6
97a302bfbc635c55b3a5799326a465c7	eukaryota_odb12	129	93.8	93.8	0.0	3.9	2.3
b1a66c7a4f0783202fc53ce77234cd54	eukaryota_odb12	129	96.9	95.3	1.6	0.8	2.3
ca73faafee32a8648aec226a9079075d	eukaryota_odb12	129	99.2	97.7	1.6	0.8	0.0
e1699fd2aaff096979d03add3c8071dd	eukaryota_odb12	129	93.8	93.0	0.8	4.7	1.6
f623c0ea45a9bd413406c6aedeb9c3c6	eukaryota_odb12	129	90.7	86.8	3.9	4.7	4.7
0cbe74f9d5070dcca7ca7bb4bef1b90d	eukaryota_odb12	129	93.8	91.5	2.3	5.4	0.8
26b3eb6b1b0672fffebdbb243a49be4f	eukaryota_odb12	129	97.7	96.9	0.8	0.8	1.6
4838c81e6eda79726fbdc60f5a9c350d	eukaryota_odb12	129	98.4	98.4	0.0	1.6	0.0
660a49042503922ce98ccadfc787c06d	eukaryota_odb12	129	96.9	94.6	2.3	2.3	0.8
78816cce22784e0836dd9987b59f0b3b	eukaryota_odb12	129	97.7	95.3	2.3	2.3	0.0
b2c8e2974eb88787d8368947c15efd73	eukaryota_odb12	129	93.0	92.2	0.8	2.3	4.7
e2dcdf597474d71fd5e28290206e305d	eukaryota_odb12	129	93.8	93.8	0.0	4.7	1.6
f6cf17d821ed48426bcc7fb9a498d417	eukaryota_odb12	129	92.2	86.0	6.2	4.7	3.1
0d2ffa91eda8d79161f0f6e778439e5e	eukaryota_odb12	129	94.6	93.8	0.8	3.1	2.3
2857093d4a67d586ae0f73aaf4b09e02	eukaryota_odb12	129	93.8	90.7	3.1	3.1	3.1
4a824989f718df093edf72e8b93b39af	eukaryota_odb12	129	89.1	86.8	2.3	10.9	0.0
66c90bc89ef4e0172174c322aa8c303f	eukaryota_odb12	129	87.6	85.3	2.3	11.6	0.8
79185499050b4f2a8fa25e8b82d3e415	eukaryota_odb12	129	94.6	92.2	2.3	5.4	0.0
98bf0306ca543511621bc647568d0678	eukaryota_odb12	129	96.1	93.0	3.1	3.9	0.0
b3109f396c21db8fd1a0003ba75e788e	eukaryota_odb12	129	98.4	93.8	4.7	0.8	0.8
cdd0c65cf0710480aee72c0883cbcf20	eukaryota_odb12	129	93.8	91.5	2.3	6.2	0.0
f72989428103b282ed1a3d2918e39b8f	eukaryota_odb12	129	97.7	96.9	0.8	0.0	2.3
290a807c4fa96b15998ce39ab9c5ada6	eukaryota_odb12	129	93.0	89.9	3.1	4.7	2.3
4b160d755cba4e0325928bf9360b1117	eukaryota_odb12	129	98.4	96.9	1.6	0.8	0.8
6724a58f573dbff80d2cc404597b8c8b	eukaryota_odb12	129	99.2	97.7	1.6	0.8	0.0
794d1bb9a3a1a99c2c313231d51609a6	eukaryota_odb12	129	97.7	96.9	0.8	1.6	0.8
98d6e5c716c01c0fa5ce245c2ed959eb	eukaryota_odb12	129	97.7	97.7	0.0	0.8	1.6
cec4d828ca7b13dafdd92d3e7d0e1222	eukaryota_odb12	129	88.4	86.0	2.3	10.1	1.6
e46a64912671b2493fc82943b1fbd3cc	eukaryota_odb12	129	93.8	91.5	2.3	4.7	1.6
f7df8e889c813714860eee61204cb60a	eukaryota_odb12	129	94.6	89.9	4.7	2.3	3.1
1015d39c6c91159443df90dad0396129	eukaryota_odb12	129	93.8	93.0	0.8	3.9	2.3
29f4f09cc5e3d142efa0606d6653f9cb	eukaryota_odb12	129	97.7	93.8	3.9	2.3	0.0
4b8915cf97f078990fa6612fc8b1d6d6	eukaryota_odb12	129	93.8	93.0	0.8	2.3	3.9
6759193ee031f9d567cf697b1a254ed4	eukaryota_odb12	129	96.1	96.1	0.0	2.3	1.6
797f2df4d40859c380cf10d3d7eb8413	eukaryota_odb12	129	98.4	96.1	2.3	0.8	0.8
9ad9a2bdc7be2cd6cc6f04ee7760217d	eukaryota_odb12	129	93.0	91.5	1.6	7.0	0.0
b3dd77e92a6aff2ea7553c4cbf48a099	eukaryota_odb12	129	96.1	94.6	1.6	3.9	0.0
cf338d479b94717e8148592e08b80bee	eukaryota_odb12	129	88.4	86.8	1.6	7.8	3.9
e51a5322241a333fbcee8932ac2fc199	eukaryota_odb12	129	96.9	96.9	0.0	0.8	2.3
f8af155e4081c149f9a3cdefd7c20e05	eukaryota_odb12	129	95.3	95.3	0.0	3.1	1.6
0176b23435cba9049266afe045eabdc5	eukaryota_odb12	129	95.3	93.0	2.3	4.7	0.0
202c91d031009ed284d035d08efdc134	eukaryota_odb12	129	90.7	88.4	2.3	6.2	3.1
378338e5b73958b594c910378b0457b0	eukaryota_odb12	129	98.4	97.7	0.8	1.6	0.0
58a026432c88c22ae22f018778162aa9	eukaryota_odb12	129	94.6	93.0	1.6	1.6	3.9
70d77f9f8ce176c3c134865ddb1f1d8f	eukaryota_odb12	129	94.6	93.0	1.6	3.1	2.3
8a1b7dffd3f23cfdd74d852267feebe6	eukaryota_odb12	129	90.7	87.6	3.1	3.9	5.4
c363470afe9b9cd8dac7eb96f2fd7016	eukaryota_odb12	129	96.9	96.1	0.8	2.3	0.8
d8f005bd23b56eb48a14aed358b11440	eukaryota_odb12	129	89.9	88.4	1.6	7.8	2.3
ecdf16a4b62c3ae07ade2600b0a5d393	eukaryota_odb12	129	94.6	91.5	3.1	4.7	0.8
2ba50e4df9c6e82f78a364ebdbdbb293	eukaryota_odb12	129	97.7	97.7	0.0	2.3	0.0
4cfbc8a407288ceb96f356c9070aabf7	eukaryota_odb12	129	96.1	93.8	2.3	2.3	1.6
67d3f219e5e3c3032612dbf21ea94518	eukaryota_odb12	129	59.7	59.7	0.0	10.9	29.5
798d8a6233095d070a794c0c65d2e590	eukaryota_odb12	129	96.9	96.9	0.0	1.6	1.6
9ae4c1cbdbafaca682feeebf7128f8a1	eukaryota_odb12	129	84.5	84.5	0.0	12.4	3.1
b41feac448a47a3a619874b4d70e2a31	eukaryota_odb12	129	95.3	95.3	0.0	3.1	1.6
cf5b014ee7a1d197ab770b3c48b3849b	eukaryota_odb12	129	59.7	53.5	6.2	10.9	29.5
e54c44724a3e0803da2d83dc4dfba2c2	eukaryota_odb12	129	97.7	96.9	0.8	0.8	1.6
f93f957370fc9b64e864937d429e3ce3	eukaryota_odb12	129	86.0	84.5	1.6	10.1	3.9
129cc0b6ac81e26857a6974e481c5966	eukaryota_odb12	129	96.1	95.3	0.8	2.3	1.6
4d123af637c5636fe215a875afb4994d	eukaryota_odb12	129	99.2	99.2	0.0	0.8	0.0
6809626d025c4db35a54bc6f658d24b0	eukaryota_odb12	129	57.4	57.4	0.0	11.6	31.0
7b42db5431e5d7c5674f971198488389	eukaryota_odb12	129	93.0	90.7	2.3	6.2	0.8
9b8e47b61ab5398b8dae1848e38b2f25	eukaryota_odb12	129	96.9	96.9	0.0	1.6	1.6
b650ebe55622d2b5260bd9191e0a8e67	eukaryota_odb12	129	98.4	96.9	1.6	0.8	0.8
cf5b44a47a9bb515c176f5c89215e82e	eukaryota_odb12	129	96.1	96.1	0.0	0.0	3.9
e59e2bf7670cdaae56ff5d677f0bce51	eukaryota_odb12	129	94.6	93.8	0.8	1.6	3.9
12ffccd6cfc4639ddacffc1ca472cab7	eukaryota_odb12	129	91.5	90.7	0.8	7.0	1.6
2d30aa286be0d0206b05179f8cba6edd	eukaryota_odb12	129	93.0	91.5	1.6	6.2	0.8
5020795d7ea61e60adc91725331dddff	eukaryota_odb12	129	89.9	88.4	1.6	8.5	1.6
680f99d18b21890f47e1222439daa837	eukaryota_odb12	129	93.8	93.0	0.8	4.7	1.6
7bafbf01eb7b65aab5f13457152b32dc	eukaryota_odb12	129	91.5	89.1	2.3	7.0	1.6
9c264e1a8aa73acc9b265727190a1dc4	eukaryota_odb12	129	93.0	91.5	1.6	2.3	4.7
b6c7ef9e877f7153af6be1ea4f1990b8	eukaryota_odb12	129	98.4	96.9	1.6	1.6	0.0
e59eac3812dded8f86be5298e1a72a5e	eukaryota_odb12	129	93.0	92.2	0.8	4.7	2.3
fad718a7893f196110946bdc46c41ab7	eukaryota_odb12	129	96.1	88.4	7.8	3.9	0.0
15d174d92b49ce9c0b2b938ec3a47259	eukaryota_odb12	129	93.0	89.9	3.1	7.0	0.0
2dcbee39fe76340fb1a44955abbce38e	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0
524f9419c92998874d4f667165103d59	eukaryota_odb12	129	98.4	97.7	0.8	0.8	0.8
69867ee6861ddd5f7d707b7196d747e6	eukaryota_odb12	129	97.7	96.1	1.6	1.6	0.8
a0371725009ef18e57adf5a46a9672c1	eukaryota_odb12	129	87.6	83.7	3.9	9.3	3.1
b90d20dfbb3e96feaa9b6bfad56095a3	eukaryota_odb12	129	98.4	97.7	0.8	0.0	1.6
cfd521a5e4dc405316c99cc6e9486f50	eukaryota_odb12	129	99.2	98.4	0.8	0.0	0.8
e639139d8decdcaee128f5f9853246bb	eukaryota_odb12	129	93.0	89.9	3.1	4.7	2.3
fc33ba67cabc331a75c34bed571cc26e	eukaryota_odb12	129	96.9	95.3	1.6	2.3	0.8
178b970fbe34c9df6e20f068838ba995	eukaryota_odb12	129	96.9	94.6	2.3	1.6	1.6
2e3589fd184b4be6d80dfea393525932	eukaryota_odb12	129	86.0	83.7	2.3	12.4	1.6
52d908ef73854b4e2bec0dd327ae6f37	eukaryota_odb12	129	89.1	88.4	0.8	7.0	3.9
69f7a0ab3ca5aa457a0ba4edac45c278	eukaryota_odb12	129	92.2	90.7	1.6	7.8	0.0
7e4dad5a7d82906dd0cb3dee44b79e60	eukaryota_odb12	129	96.9	96.9	0.0	1.6	1.6
a0a4ac3a35ef0333aa3b6598b37531ad	eukaryota_odb12	129	94.6	93.8	0.8	5.4	0.0
bab908ccdf317d5b22c4ce1d8f9f379e	eukaryota_odb12	129	91.5	88.4	3.1	7.0	1.6
d1e80c8c47121f61fde6e2398a6625d6	eukaryota_odb12	129	98.4	98.4	0.0	0.8	0.8
e6df69d0e24ec9231a7bee1ba73d461b	eukaryota_odb12	129	98.4	97.7	0.8	0.8	0.8
fcb55a3257b09207e264898418af66b1	eukaryota_odb12	129	97.7	96.1	1.6	1.6	0.8
2f74437e24637e7efad8926761bd9ef5	eukaryota_odb12	129	97.7	96.9	0.8	2.3	0.0
541a43fe4c788076903cdc79705df785	eukaryota_odb12	129	96.1	95.3	0.8	3.1	0.8
6b03a223768c86ef9c87288b1761d086	eukaryota_odb12	129	96.9	93.0	3.9	0.8	2.3
7f64b35ed84c3e8ddf5930dc2b7df07c	eukaryota_odb12	129	97.7	97.7	0.0	2.3	0.0
a16d9fd1f90447757836a510ebae85c5	eukaryota_odb12	129	93.0	92.2	0.8	4.7	2.3
bd156c470514b3e68838eb3cbe605758	eukaryota_odb12	129	97.7	97.7	0.0	0.8	1.6
d2b29ef732ad10436c702dde1d2c40d3	eukaryota_odb12	129	86.0	83.7	2.3	11.6	2.3
e71db0464fdb3dea7718d9744f862c1c	eukaryota_odb12	129	95.3	56.6	38.8	2.3	2.3
fe69df62634e37e3e085c61673937d8f	eukaryota_odb12	129	98.4	97.7	0.8	0.8	0.8
312c26969be461fbb9c92a92ce6e151e	eukaryota_odb12	129	96.9	96.9	0.0	0.8	2.3
5448c9f7e6ef4a42a6940fb0890e5cfa	eukaryota_odb12	129	91.5	91.5	0.0	7.0	1.6
a182a319a010ed6c4248038215d7e71b	eukaryota_odb12	129	98.4	96.1	2.3	0.8	0.8
bdf9f5704a9be19d2f255b1639024d1d	eukaryota_odb12	129	96.1	96.1	0.0	3.1	0.8
d30d9c186b4313c75eec56c77c34a7d7	eukaryota_odb12	129	59.7	59.7	0.0	10.9	29.5
1c906c310e9856de9e9c806c314f9b1d	eukaryota_odb12	129	93.0	93.0	0.0	5.4	1.6
31b84161870c29cf1c459a183a325b45	eukaryota_odb12	129	96.9	96.1	0.8	1.6	1.6
6c79661234810cefc19526167638c8f7	eukaryota_odb12	129	89.1	86.0	3.1	7.0	3.9
82dd35b585ab7f6ef0fc7af7cbfa413e	eukaryota_odb12	129	94.6	92.2	2.3	3.9	1.6
a5d94741375b5c06ae4697b0d9b2aaae	eukaryota_odb12	129	95.3	93.8	1.6	3.1	1.6
beb6e8d038f2397da5e46bbc448ada55	eukaryota_odb12	129	91.5	89.9	1.6	5.4	3.1
d31966323e6e017450132a1b1fb12fe7	eukaryota_odb12	129	95.3	95.3	0.0	2.3	2.3
e7e7e4893b8a011fc024dc23e5a83b40	eukaryota_odb12	129	87.6	85.3	2.3	9.3	3.1
ffaab9efbb9ebe8ce36d976e5b1f5b7a	eukaryota_odb12	129	98.4	90.7	7.8	0.8	0.8
1d051206490b40ee6c8241566ce7396b	eukaryota_odb12	129	93.0	93.0	0.0	5.4	1.6
323a091192ad7daac0fc340434cadc1f	eukaryota_odb12	129	96.9	90.7	6.2	2.3	0.8
575793c3a0371e9579849f9c6c407d5b	eukaryota_odb12	129	97.7	97.7	0.0	2.3	0.0
6d0586b9559d35d08551c327ad0a120f	eukaryota_odb12	129	89.9	89.1	0.8	8.5	1.6
85640e3045971170fe157c2592629d31	eukaryota_odb12	129	96.1	95.3	0.8	3.9	0.0
a614bb97542a1216b7a86b645d5d1a29	eukaryota_odb12	129	94.6	94.6	0.0	2.3	3.1
bedb728234822b4ee3fadf9b5e675af4	eukaryota_odb12	129	89.1	88.4	0.8	7.8	3.1
d3fd8ee8f255aafcda349f34a36f295b	eukaryota_odb12	129	93.8	93.8	0.0	1.6	4.7
e8bb7d7545adf0c42f717323032ed5a4	eukaryota_odb12	129	96.1	93.0	3.1	3.1	0.8
324b4fbd95f9e8c6710bf90d9769aae9	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0
58142e1ef46a6f7e0740de93e2d59c46	eukaryota_odb12	129	94.6	92.2	2.3	4.7	0.8
6f80a9bcf7733286722e3bde5c9b4335	eukaryota_odb12	129	88.4	87.6	0.8	4.7	7.0
a8969563f6973157b1cc1b7d5a776550	eukaryota_odb12	129	97.7	97.7	0.0	1.6	0.8
bf4bd2fd107269b0ace0e2e2fbcf9d57	eukaryota_odb12	129	89.9	89.9	0.0	6.2	3.9
d8554ecc092108ad99264fc7fab74795	eukaryota_odb12	129	97.7	96.1	1.6	0.8	1.6
e95608af9703ca7d53d8a8b6e4db3a8f	eukaryota_odb12	129	98.4	96.1	2.3	0.0	1.6
21029a40a60c9b0275c5bc4f8d14aa95	eukaryota_odb12	129	89.1	87.6	1.6	3.1	7.8
3853968499e143b6662ff3a19c5683fe	eukaryota_odb12	129	93.0	90.7	2.3	7.0	0.0
58a099157ee56743e27bc5caa20c9261	eukaryota_odb12	129	96.9	94.6	2.3	3.1	0.0
71ec28f44fc422bad89f32a2911fc300	eukaryota_odb12	129	90.7	89.9	0.8	6.2	3.1
aac0252f95731b0bbc7ebc698af3ad43	eukaryota_odb12	129	86.8	85.3	1.6	10.1	3.1
c3686f2bd485010c62b65288e647c451	eukaryota_odb12	129	96.1	93.8	2.3	0.8	3.1
d967bac1b0db1bd1e0f1a9e5e644d145	eukaryota_odb12	129	97.7	96.9	0.8	1.6	0.8
eeb3b430ca171fe696648ab0d3e10ba5	eukaryota_odb12	129	98.4	98.4	0.0	0.0	1.6
02a191bcc847dc33554f7cd5aaa38470	eukaryota_odb12	129	92.2	89.9	2.3	5.4	2.3
22359eadedf8fa4ca4db013c2fb7db3b	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0
3a8676b1d7aaf8c3f402e11e98cce0fd	eukaryota_odb12	129	100.0	96.9	3.1	0.0	0.0
591685a4dbbf207ea283654d31ca85af	eukaryota_odb12	129	96.1	95.3	0.8	2.3	1.6
72504affabcbbcf188e38d9ea0a769de	eukaryota_odb12	129	58.1	58.1	0.0	11.6	30.2
8d2f1d0ab5bc514816d2ef3658bbcd63	eukaryota_odb12	129	92.2	89.1	3.1	5.4	2.3
adee80c9092a53e82dd8959d13981445	eukaryota_odb12	129	96.9	96.9	0.0	0.8	2.3
c491376be03db3b1260529a7ddcdb9f9	eukaryota_odb12	129	95.3	93.8	1.6	3.1	1.6
db137d7216703228ec58a0d52116a786	eukaryota_odb12	129	98.4	98.4	0.0	0.8	0.8
eedfb3b31622df0bcc05460b1ca77b54	eukaryota_odb12	129	96.1	96.1	0.0	1.6	2.3
3ab78cce01f143596da0ec86839a8922	eukaryota_odb12	129	96.9	96.9	0.0	0.8	2.3
594978275ad6266de41d3b09be8e8591	eukaryota_odb12	129	99.2	97.7	1.6	0.0	0.8
729a2db1d842186b084e5242a873c309	eukaryota_odb12	129	87.6	85.3	2.3	8.5	3.9
ae48747f0ac12d93ec2f5fdf429b62fb	eukaryota_odb12	129	100.0	100.0	0.0	0.0	0.0
db3e0541e2039da36da8af96f045bbde	eukaryota_odb12	129	88.4	86.8	1.6	10.1	1.6
03f34c6fa6ce71704c8612a38c8d860e	eukaryota_odb12	129	86.0	85.3	0.8	10.9	3.1
233766c3f6b494e5757b8bb1737f71bd	eukaryota_odb12	129	94.6	83.7	10.9	1.6	3.9
745ff33af410b6e2da146d010a05833c	eukaryota_odb12	129	98.4	98.4	0.0	0.8	0.8
8f5df5f5eb95fbeabdbca9b05984bf25	eukaryota_odb12	129	92.2	88.4	3.9	6.2	1.6
ae90f7d6f250e3b092feadcf9b6c7696	eukaryota_odb12	129	94.6	93.8	0.8	3.1	2.3
c50dfe4712f4d8eaf26cc6c82ed5f5c8	eukaryota_odb12	129	93.8	91.5	2.3	3.1	3.1
dd25391be7629f4806f2d1787a07855a	eukaryota_odb12	129	96.1	90.7	5.4	3.9	0.0
f02efd73102f2663c713da05e7ee8d9c	eukaryota_odb12	129	93.0	92.2	0.8	4.7	2.3
23d6155aebb1019b14df677a46bda684	eukaryota_odb12	129	93.0	92.2	0.8	6.2	0.8
3daf3da0590adee103a6cc32ea21c414	eukaryota_odb12	129	91.5	91.5	0.0	8.5	0.0
598aaf8dcd657baa990d52c516e5d3be	eukaryota_odb12	129	58.1	58.1	0.0	10.9	31.0
74a030c7cdff825cd5b2c3356a0de49f	eukaryota_odb12	129	95.3	93.0	2.3	3.1	1.6
8fa5ca2f93dad0d259811e89220d03e5	eukaryota_odb12	129	93.0	92.2	0.8	2.3	4.7
af453fac120fd52efda6c68cc28bf6d4	eukaryota_odb12	129	93.0	92.2	0.8	1.6	5.4
c56a7cae05e0233b52fa8ed66b4a00a1	eukaryota_odb12	129	96.1	96.1	0.0	3.9	0.0
f1d2d28f073245fa5609a611bccf3f96	eukaryota_odb12	129	96.9	96.1	0.8	1.6	1.6
0567480dc0c2122d72debbd101cef467	eukaryota_odb12	129	96.9	95.3	1.6	3.1	0.0
243c53e1c9eca5a169a5cedabeea610c	eukaryota_odb12	129	94.6	93.8	0.8	3.9	1.6
3f8c08cbb8bb7d193772eb253c3752e5	eukaryota_odb12	129	95.3	95.3	0.0	4.7	0.0
5bd3e86635a644f28575ffe8f1641132	eukaryota_odb12	129	97.7	95.3	2.3	2.3	0.0
7535c5ba6db3fb7e134acba9fb817740	eukaryota_odb12	129	92.2	90.7	1.6	5.4	2.3
ddea132c0b3f2780384732f27246380b	eukaryota_odb12	129	97.7	94.6	3.1	2.3	0.0
f2454bc602c8a68a2a663385d38a387b	eukaryota_odb12	129	87.6	85.3	2.3	7.8	4.7
057177c3648598c7b2c46e7ed8252f2b	eukaryota_odb12	129	94.6	93.0	1.6	3.9	1.6
245759f9bac328f9267c3087237eea72	eukaryota_odb12	129	98.4	95.3	3.1	0.0	1.6
41b90b32d31a922033cb35cd8a1988b8	eukaryota_odb12	129	96.1	94.6	1.6	2.3	1.6
5f3b29224e5950e0555bdb2eae750b42	eukaryota_odb12	129	90.7	89.9	0.8	7.8	1.6
7543736fac8a66513db9ac4951496f8b	eukaryota_odb12	129	95.3	93.8	1.6	3.9	0.8
910d585596f0748f946ddd713d4b023d	eukaryota_odb12	129	94.6	94.6	0.0	3.9	1.6
c5b0799a39e56fe1ea803eea3f9d63df	eukaryota_odb12	129	89.1	86.8	2.3	8.5	2.3
f2f61286df7829f3766a58c867807475	eukaryota_odb12	129	59.7	59.7	0.0	12.4	27.9
017c803a2ff02d3912648265d4a031e1	eukaryota_odb12	129	98.4	48.1	50.4	0.8	0.8
038785ec7cf1cd0af194a9cd01244b20	eukaryota_odb12	129	95.3	95.3	0.0	2.3	2.3
2d1b39cfdbd9f8d959836bd86bd87cc5	eukaryota_odb12	129	97.7	96.9	0.8	1.6	0.8
3d8ac12e98e4a8292eca107bc2942e94	eukaryota_odb12	129	91.5	88.4	3.1	7.0	1.6
480c046370ab3e88609564636d8e9be7	eukaryota_odb12	129	96.1	92.2	3.9	1.6	2.3
57373862c2ad75903db120fb498ff716	eukaryota_odb12	129	90.7	86.8	3.9	7.8	1.6
59889228629a11092b54a73fb996a729	eukaryota_odb12	129	96.9	96.1	0.8	2.3	0.8
6c70d6d23a6a2e90f29ffb2e7d506713	eukaryota_odb12	129	97.7	96.1	1.6	0.8	1.6
765cfdeda1646316cb176f7bb5860ab5	eukaryota_odb12	129	100.0	41.1	58.9	0.0	0.0
